"","frist_vac","second","events","cumnum","N","est","lower","upper","group"
"1","No",2022-12-01,1,1,11470,0.00871839581517001,0.000790711270315988,0.0406457978842803,1
"2","No",2022-12-02,1,2,11470,0.01743679163034,0.00347725728811513,0.0558921895342192,1
"3","No",2022-12-03,1,3,11470,0.02615518744551,0.00723866903421687,0.0697791620725745,1
"4","No",2022-12-04,4,7,11470,0.0610287707061901,0.0272149232883713,0.11983122594082,1
"5","No",2022-12-05,2,9,11470,0.0784655623365301,0.0387537592162271,0.143217643202366,1
"6","No",2022-12-06,4,13,11470,0.11333914559721,0.0634711467057504,0.188304789058421,1
"7","No",2022-12-07,5,18,11470,0.15693112467306,0.0963161495136735,0.242680543179818,1
"8","No",2022-12-08,14,32,11470,0.27898866608544,0.194400649743053,0.388753901465848,1
"9","No",2022-12-09,31,63,11470,0.549258936355711,0.425865457088848,0.697857215789218,1
"10","No",2022-12-10,33,96,11470,0.836965998256321,0.68185175411966,1.0172949282013,1
"11","No",2022-12-11,77,173,11470,1.50828247602441,1.29591895221568,1.74586912674819,1
"12","No",2022-12-12,157,330,11470,2.8770706190061,2.57911048560437,3.20025890416756,1
"13","No",2022-12-13,130,460,11470,4.0104620749782,3.65645021532767,4.38970365391844,1
"14","No",2022-12-14,182,642,11470,5.59721011333915,5.17674645325161,6.04290462156031,1
"15","No",2022-12-15,268,910,11470,7.93374019180471,7.43078736427372,8.46192470816908,1
"16","No",2022-12-16,251,1161,11470,10.1220575414124,9.55235000436862,10.7169972028313,1
"17","No",2022-12-17,189,1350,11470,11.7698343504795,11.1545277118975,12.410373334543,1
"18","No",2022-12-18,241,1591,11470,13.8709677419355,13.2019265759898,14.5652414591259,1
"19","No",2022-12-19,219,1810,11470,15.7802964254577,15.0658619621368,16.5199635794963,1
"20","No",2022-12-20,182,1992,11470,17.3670444638187,16.6169386089353,18.1423831020012,1
"21","No",2022-12-21,98,2090,11470,18.2214472537053,17.4528080523782,19.0153192815062,1
"22","No",2022-12-22,73,2163,11470,18.8578901482127,18.0757263095876,19.6652868429303,1
"23","No",2022-12-23,84,2247,11470,19.590235396687,18.7927883187531,20.4129153624142,1
"24","No",2022-12-24,66,2313,11470,20.1656495204882,19.3563935345933,21.0001384174694,1
"25","No",2022-12-25,63,2376,11470,20.7149084568439,19.8945364849007,21.5605133609007,1
"26","No",2022-12-26,56,2432,11470,21.2031386224935,20.3730088549282,22.0585013399487,1
"27","No",2022-12-27,54,2486,11470,21.6739319965126,20.8344987517249,22.5385982075736,1
"28","No",2022-12-28,32,2518,11470,21.9529206625981,21.1080218746149,22.8230524262316,1
"29","No",2022-12-29,21,2539,11470,22.1360069747167,21.2875402770462,23.0097066540628,1
"30","No",2022-12-30,26,2565,11470,22.3626852659111,21.5098215345177,23.2407819863033,1
"31","No",2022-12-31,13,2578,11470,22.4760244115083,21.6209705191541,23.3563112964675,1
"32","No",2023-01-01,6,2584,11470,22.5283347863993,21.6722719129529,23.4096306541029,1
"33","No",2023-01-02,12,2596,11470,22.6329555361813,21.7748782082329,23.5162658616685,1
"34","No",2023-01-03,7,2603,11470,22.6939843068875,21.8347340299065,23.5784675833074,1
"35","Yes",2022-12-01,0,0,2661,0,0,0.0925943709119643,1
"36","Yes",2022-12-02,0,0,2661,0,0,0.0925943709119643,1
"37","Yes",2022-12-03,0,0,2661,0,0,0.0925943709119643,1
"38","Yes",2022-12-04,0,0,2661,0,0,0.0925943709119643,1
"39","Yes",2022-12-05,0,0,2661,0,0,0.0925943709119643,1
"40","Yes",2022-12-06,0,0,2661,0,0,0.0925943709119643,1
"41","Yes",2022-12-07,3,3,2661,0.112739571589628,0.0312016286442944,0.300776771504107,1
"42","Yes",2022-12-08,4,7,2661,0.263059000375799,0.117307467161826,0.51652166912484,1
"43","Yes",2022-12-09,4,11,2661,0.413378429161969,0.219354202907347,0.715481673210861,1
"44","Yes",2022-12-10,3,14,2661,0.526118000751597,0.301288197277903,0.85916941557114,1
"45","Yes",2022-12-11,14,28,2661,1.05223600150319,0.714367010488099,1.49859493219197,1
"46","Yes",2022-12-12,34,62,2661,2.32995114618564,1.80271942985599,2.96582388180249,1
"47","Yes",2022-12-13,32,94,2661,3.53250657647501,2.87144321362936,4.30225382839486,1
"48","Yes",2022-12-14,30,124,2661,4.65990229237129,3.89294023555191,5.5355684120865,1
"49","Yes",2022-12-15,43,167,2661,6.27583615182262,5.37739254142047,7.28300013783653,1
"50","Yes",2022-12-16,48,215,2661,8.07966929725667,7.05318375361387,9.21488573617684,1
"51","Yes",2022-12-17,36,251,2661,9.43254415633221,8.31920432163218,10.6546201407774,1
"52","Yes",2022-12-18,47,298,2661,11.1987974445697,9.9809570915528,12.5253788997775,1
"53","Yes",2022-12-19,38,336,2661,12.6268320180383,11.3303992325456,14.0320088983498,1
"54","Yes",2022-12-20,41,377,2661,14.1676061630966,12.7912097401528,15.6527492340093,1
"55","Yes",2022-12-21,23,400,2661,15.0319428786171,13.6125871936449,16.560046414931,1
"56","Yes",2022-12-22,14,414,2661,15.5580608793687,14.1131586060224,17.1117116711575,1
"57","Yes",2022-12-23,16,430,2661,16.1593385945133,14.6857631296111,17.7416632871286,1
"58","Yes",2022-12-24,11,441,2661,16.5727170236753,15.0797369127333,18.1744468201321,1
"59","Yes",2022-12-25,11,452,2661,16.9860954528373,15.4739510392546,18.6069899874782,1
"60","Yes",2022-12-26,20,472,2661,17.7376925967681,16.19129167859,19.392844375945,1
"61","Yes",2022-12-27,8,480,2661,18.0383314543405,16.4784314649707,19.7069825834374,1
"62","Yes",2022-12-28,11,491,2661,18.4517098835024,16.8734308998633,20.1387403753046,1
"63","Yes",2022-12-29,8,499,2661,18.7523487410748,17.1608321136638,20.4526171344094,1
"64","Yes",2022-12-30,8,507,2661,19.0529875986471,17.4483389474849,20.7663882653669,1
"65","Yes",2022-12-31,3,510,2661,19.1657271702368,17.5561807293008,20.8840257183258,1
"66","Yes",2023-01-01,4,514,2661,19.3160465990229,17.6999921098219,21.0408533158428,1
"67","Yes",2023-01-02,1,515,2661,19.3536264562195,17.7359489128323,21.0800562570498,1
"68","Yes",2023-01-03,3,518,2661,19.4663660278091,17.8438287472094,21.1976556546347,1
"69","No",2022-11-30,3,3,80396,0.00373152893178765,0.00103273214864505,0.00995530858466129,2
"70","No",2022-12-01,3,6,80396,0.0074630578635753,0.00310212167417205,0.0153836980790781,2
"71","No",2022-12-02,7,13,80396,0.0161699587044132,0.00905535166817948,0.026865216310514,2
"72","No",2022-12-03,5,18,80396,0.0223891735907259,0.0137413084596477,0.0346229393287292,2
"73","No",2022-12-04,19,37,80396,0.0460221901587144,0.032921474444325,0.0627159841001004,2
"74","No",2022-12-05,21,58,80396,0.0721428926812279,0.0553198468155663,0.0925615243433241,2
"75","No",2022-12-06,30,88,80396,0.109458181999104,0.0883431258923526,0.134170341497598,2
"76","No",2022-12-07,56,144,80396,0.179113388725807,0.1516233153669,0.210201712185381,2
"77","No",2022-12-08,100,244,80396,0.303497686452062,0.267189621960819,0.343404742164375,2
"78","No",2022-12-09,197,441,80396,0.548534752972785,0.499119109467926,0.601549865520319,2
"79","No",2022-12-10,317,758,80396,0.942832976765013,0.877498348261569,1.01176732214829,2
"80","No",2022-12-11,676,1434,80396,1.7836708293945,1.69314143064995,1.87780010767676,2
"81","No",2022-12-12,1060,2494,80396,3.1021443852928,2.98218805162071,3.22570067605607,2
"82","No",2022-12-13,989,3483,80396,4.33230508980546,4.19022138557425,4.47798878092495,2
"83","No",2022-12-14,1339,4822,80396,5.99781083636002,5.83031644972004,6.16890523075567,2
"84","No",2022-12-15,1871,6693,80396,8.32504104681825,8.12739057346628,8.52629154310071,2
"85","No",2022-12-16,1940,8633,80396,10.7380964227076,10.513378252769,10.9664146243657,2
"86","No",2022-12-17,1486,10119,80396,12.5864470869197,12.3430079867938,12.8334862232181,2
"87","No",2022-12-18,1955,12074,80396,15.018160107468,14.7520770054933,15.2878432498039,2
"88","No",2022-12-19,1290,13364,80396,16.6227175481367,16.342687446967,16.9063476917605,2
"89","No",2022-12-20,1038,14402,80396,17.9138265585353,17.6230563183688,18.2081968425676,2
"90","No",2022-12-21,670,15072,80396,18.7472013533012,18.4497032533231,19.0482994979532,2
"91","No",2022-12-22,442,15514,80396,19.2969799492512,18.9951250649404,19.6024348787308,2
"92","No",2022-12-23,447,15961,80396,19.8529777600876,19.5467794786636,20.1627760871529,2
"93","No",2022-12-24,366,16327,80396,20.3082242897657,19.9985147600342,20.6215338655061,2
"94","No",2022-12-25,390,16717,80396,20.7933230508981,20.4799150688649,21.1103310793143,2
"95","No",2022-12-26,345,17062,80396,21.2224488780536,20.9058049920763,21.5426928107307,2
"96","No",2022-12-27,248,17310,80396,21.5309219364147,21.2119721187412,21.8534718010078,2
"97","No",2022-12-28,206,17516,80396,21.7871535897308,21.4663008906972,22.1116063358619,2
"98","No",2022-12-29,160,17676,80396,21.9861684660928,21.6638455090132,22.3120914704052,2
"99","No",2022-12-30,121,17797,80396,22.1366734663416,21.8132430404352,22.4637039395814,2
"100","No",2022-12-31,99,17896,80396,22.2598139210906,21.9354801815194,22.5877477080766,2
"101","No",2023-01-01,41,17937,80396,22.3108114831584,21.9861043757937,22.6391186379712,2
"102","No",2023-01-02,56,17993,80396,22.3804666898851,22.0552503055104,22.7092831217534,2
"103","No",2023-01-03,54,18047,80396,22.4476342106572,22.1219274877483,22.7769409811034,2
"104","Yes",2022-11-30,0,0,12691,0,0,0.019414831061125,2
"105","Yes",2022-12-01,0,0,12691,0,0,0.019414831061125,2
"106","Yes",2022-12-02,0,0,12691,0,0,0.019414831061125,2
"107","Yes",2022-12-03,0,0,12691,0,0,0.019414831061125,2
"108","Yes",2022-12-04,4,4,12691,0.0315183988653376,0.0105375256557433,0.0749356239389104,2
"109","Yes",2022-12-05,4,8,12691,0.0630367977306753,0.0297320403842832,0.118952111691918,2
"110","Yes",2022-12-06,3,11,12691,0.0866755968796785,0.0459933444122961,0.150019441526602,2
"111","Yes",2022-12-07,10,21,12691,0.165471594043023,0.105490711327855,0.248181262913136,2
"112","Yes",2022-12-08,14,35,12691,0.275785990071704,0.195355277310138,0.378975939565084,2
"113","Yes",2022-12-09,26,61,12691,0.480655582696399,0.37108939229763,0.613000771925758,2
"114","Yes",2022-12-10,41,102,12691,0.80371917106611,0.658879967347579,0.971348164172593,2
"115","Yes",2022-12-11,75,177,12691,1.39468914979119,1.20042456817213,1.6117503589369,2
"116","Yes",2022-12-12,122,299,12691,2.35600031518399,2.10020156340624,2.63459950100028,2
"117","Yes",2022-12-13,136,435,12691,3.42762587660547,3.11679647489132,3.76125744176659,2
"118","Yes",2022-12-14,170,605,12691,4.76715782838232,4.39858709869922,5.15853179076597,2
"119","Yes",2022-12-15,263,868,12691,6.83949255377827,6.39580469601538,7.30598447370927,2
"120","Yes",2022-12-16,248,1116,12691,8.7936332834292,8.28903455837532,9.32103649482757,2
"121","Yes",2022-12-17,190,1306,12691,10.2907572295327,9.74397172769173,10.8603474337445,2
"122","Yes",2022-12-18,269,1575,12691,12.4103695532267,11.8088017375905,13.0347422879762,2
"123","Yes",2022-12-19,219,1794,12691,14.1360018911039,13.4932133149146,14.8015955148763,2
"124","Yes",2022-12-20,156,1950,12691,15.3652194468521,14.6945858097579,16.0586582054478,2
"125","Yes",2022-12-21,121,2071,12691,16.3186510125286,15.6271788258427,17.0329283703834,2
"126","Yes",2022-12-22,84,2155,12691,16.9805373887007,16.2749548515855,17.7089251281854,2
"127","Yes",2022-12-23,94,2249,12691,17.7212197620361,17.0001692954325,18.4650754631614,2
"128","Yes",2022-12-24,69,2318,12691,18.2649121424632,17.5327123026781,19.0199172387118,2
"129","Yes",2022-12-25,80,2398,12691,18.8952801197699,18.1503591928435,19.6630063270193,2
"130","Yes",2022-12-26,55,2453,12691,19.3286581041683,18.5751141365084,20.105007367652,2
"131","Yes",2022-12-27,50,2503,12691,19.722638089985,18.961338494755,20.5067429945394,2
"132","Yes",2022-12-28,46,2549,12691,20.0850996769364,19.3167330294337,20.8762716457163,2
"133","Yes",2022-12-29,27,2576,12691,20.2978488692774,19.5253638418976,21.0931392247515,2
"134","Yes",2022-12-30,22,2598,12691,20.4712000630368,19.6953752484599,21.2698302111577,2
"135","Yes",2022-12-31,16,2614,12691,20.5972736584981,19.8190287799382,21.3983238745082,2
"136","Yes",2023-01-01,7,2621,12691,20.6524308565125,19.8731295290932,21.4545375230757,2
"137","Yes",2023-01-02,11,2632,12691,20.7391064533922,19.9581478378966,21.5428704106752,2
"138","Yes",2023-01-03,6,2638,12691,20.7863840516902,20.0045229202391,21.5910505263613,2
"139","No",2022-11-30,2,2,91299,0.00219060449731103,0.000436851894266975,0.00702180104883398,3
"140","No",2022-12-01,4,6,91299,0.0065718134919331,0.00273166380920641,0.0135465644833521,3
"141","No",2022-12-02,4,10,91299,0.0109530224865552,0.00562301155107163,0.019431189953194,3
"142","No",2022-12-03,9,19,91299,0.0208107427244548,0.0129486504912101,0.0318311443584744,3
"143","No",2022-12-04,15,34,91299,0.0372402764542876,0.0262417738128947,0.0514022340638689,3
"144","No",2022-12-05,14,48,91299,0.0525745079354648,0.0392313614522758,0.0690830395298511,3
"145","No",2022-12-06,39,87,91299,0.0952912956330299,0.0768123278006692,0.116937768097802,3
"146","No",2022-12-07,71,158,91299,0.173057755287572,0.147628787531098,0.201655408168339,3
"147","No",2022-12-08,130,288,91299,0.315447047612789,0.280578600049923,0.353484835788601,3
"148","No",2022-12-09,208,496,91299,0.543269915333136,0.497027902474054,0.592681603593921,3
"149","No",2022-12-10,439,935,91299,1.02410760249291,0.960037692588808,1.09134740570035,3
"150","No",2022-12-11,829,1764,91299,1.93211316662833,1.84352585483869,2.02387048750302,3
"151","No",2022-12-12,1352,3116,91299,3.41296180681059,3.29470609596392,3.53438758342291,3
"152","No",2022-12-13,1338,4454,91299,4.87847621551167,4.73678515742087,5.02333736158764,3
"153","No",2022-12-14,1614,6068,91299,6.64629404484167,6.48064800313402,6.81511018829921,3
"154","No",2022-12-15,2421,8489,91299,9.29802078883668,9.1018091472801,9.49740254297678,3
"155","No",2022-12-16,2526,11015,91299,12.0647542689405,11.8410290387358,12.291649617956,3
"156","No",2022-12-17,2204,13219,91299,14.4788004249773,14.233561729192,14.7272092430625,3
"157","No",2022-12-18,2603,15822,91299,17.3298721782276,17.0614238759644,17.6014906056597,3
"158","No",2022-12-19,1823,17645,91299,19.3266081775266,19.0430276720707,19.6133588096567,3
"159","No",2022-12-20,1487,19132,91299,20.9553226212773,20.6599694543386,21.2538459159058,3
"160","No",2022-12-21,1032,20164,91299,22.0856745418898,21.7824181149128,22.3921010971732,3
"161","No",2022-12-22,667,20831,91299,22.8162411417431,22.5079839294127,23.1276684827458,3
"162","No",2022-12-23,698,21529,91299,23.5807621113046,23.2673566948503,23.8973376567901,3
"163","No",2022-12-24,595,22124,91299,24.2324669492546,23.9147385483013,24.5533654795272,3
"164","No",2022-12-25,634,22758,91299,24.9268885749022,24.6046173306371,25.2523299487768,3
"165","No",2022-12-26,521,23279,91299,25.4975410464518,25.1715838048314,25.8266684179083,3
"166","No",2022-12-27,426,23705,91299,25.964139804379,25.6351992211602,26.296250517612,3
"167","No",2022-12-28,304,24009,91299,26.2971116879703,25.9660585068781,26.6313349991997,3
"168","No",2022-12-29,237,24246,91299,26.5566983209016,26.2240074090929,26.8925593629415,3
"169","No",2022-12-30,190,24436,91299,26.7648057481462,26.4308076597885,27.1019739668089,3
"170","No",2022-12-31,125,24561,91299,26.9017185292281,26.5668632260576,27.2397439627517,3
"171","No",2023-01-01,76,24637,91299,26.984961500126,26.6495860763543,27.3235070542796,3
"172","No",2023-01-02,81,24718,91299,27.0736809822671,26.7377521017886,27.4127799931582,3
"173","No",2023-01-03,65,24783,91299,27.1448756284297,26.8085032715234,27.484418115773,3
"174","Yes",2022-11-30,0,0,795,0,0,0.309929083014764,3
"175","Yes",2022-12-01,0,0,795,0,0,0.309929083014764,3
"176","Yes",2022-12-02,0,0,795,0,0,0.309929083014764,3
"177","Yes",2022-12-03,0,0,795,0,0,0.309929083014764,3
"178","Yes",2022-12-04,0,0,795,0,0,0.309929083014764,3
"179","Yes",2022-12-05,0,0,795,0,0,0.309929083014764,3
"180","Yes",2022-12-06,0,0,795,0,0,0.309929083014764,3
"181","Yes",2022-12-07,0,0,795,0,0,0.309929083014764,3
"182","Yes",2022-12-08,0,0,795,0,0,0.309929083014764,3
"183","Yes",2022-12-09,0,0,795,0,0,0.309929083014764,3
"184","Yes",2022-12-10,0,0,795,0,0,0.309929083014764,3
"185","Yes",2022-12-11,0,0,795,0,0,0.309929083014764,3
"186","Yes",2022-12-12,0,0,795,0,0,0.309929083014764,3
"187","Yes",2022-12-13,0,0,795,0,0,0.309929083014764,3
"188","Yes",2022-12-14,0,0,795,0,0,0.309929083014764,3
"189","Yes",2022-12-15,0,0,795,0,0,0.309929083014764,3
"190","Yes",2022-12-16,0,0,795,0,0,0.309929083014764,3
"191","Yes",2022-12-17,1,1,795,0.125786163522013,0.0114081236107225,0.58642427890905,3
"192","Yes",2022-12-18,1,2,795,0.251572327044025,0.0501687309367051,0.806394231393074,3
"193","Yes",2022-12-19,3,5,795,0.628930817610063,0.238539324584036,1.37856084913967,3
"194","Yes",2022-12-20,1,6,795,0.754716981132076,0.313708395115391,1.55570791291265,3
"195","Yes",2022-12-21,1,7,795,0.880503144654088,0.392648012726565,1.72888573778767,3
"196","Yes",2022-12-22,5,12,795,1.50943396226415,0.82427388107332,2.55653744567771,3
"197","Yes",2022-12-23,9,21,795,2.64150943396226,1.68400329240479,3.96184705362341,3
"198","Yes",2022-12-24,8,29,795,3.64779874213836,2.4939563319893,5.16480692157865,3
"199","Yes",2022-12-25,3,32,795,4.0251572327044,2.80474899692178,5.60881415070852,3
"200","Yes",2022-12-26,8,40,795,5.0314465408805,3.6472889250346,6.77901386862089,3
"201","Yes",2022-12-27,4,44,795,5.53459119496855,4.07466720583768,7.35798369260935,3
"202","Yes",2022-12-28,6,50,795,6.28930817610063,4.721872891301,8.22028269548719,3
"203","Yes",2022-12-29,4,54,795,6.79245283018868,5.15687113988252,8.79161225222387,3
"204","Yes",2022-12-30,2,56,795,7.0440251572327,5.37531057213246,9.07633467806567,3
"205","Yes",2022-12-31,2,58,795,7.29559748427673,5.59433258438273,9.360473347303,3
"206","Yes",2023-01-01,0,58,795,7.29559748427673,5.59433258438273,9.360473347303,3
"207","Yes",2023-01-02,1,59,795,7.42138364779874,5.70405268341622,9.50233318487276,3
"208","Yes",2023-01-03,3,62,795,7.79874213836478,6.03400805389535,9.92711616286342,3
